ID,artist,title,picture data,file info,jpg url
31366,PIERO DELLA FRANCESCA,nativity (detail),"1470-75, oil on poplar panel, national gallery, london","1400*822, true color, 228 kb",https://www.wga.hu/art/p/piero/3/13nativ3.jpg
31367,PIERO DELLA FRANCESCA,nativity (detail),"1470-75, oil on poplar panel, national gallery, london","788*1600, true color, 192 kb",https://www.wga.hu/art/p/piero/3/13nativ4.jpg
31368,PIERO DELLA FRANCESCA,sigismondo pandolfo malatesta,"1451, oil and tempera on panel, 44 x 34 cm, musée du louvre, paris","802*1065, true color, 137 kb",https://www.wga.hu/art/p/piero/4/malatest.jpg
31369,PIERO DELLA FRANCESCA,portraits of federico da montefeltro and his wife battista sforza,"1473-75, oil on wood, 47 x 33 cm (each), galleria degli uffizi, florence","1277*1000, true color, 236 kb",https://www.wga.hu/art/p/piero/4/montefe0.jpg
31370,PIERO DELLA FRANCESCA,montefeltro altarpiece (detail),"1472-74, oil on panel, pinacoteca di brera, milan","1117*1200, true color, 199 kb",https://www.wga.hu/art/p/piero/3/12monte2.jpg
31371,PIERO DELLA FRANCESCA,portraits of federico da montefeltro and his wife battista sforza,"1473-75, oil on wood, 47 x 33 cm (each), galleria degli uffizi, florence","1400*1068, true color, 293 kb",https://www.wga.hu/art/p/piero/4/montefe1.jpg
31372,PIERO DELLA FRANCESCA,portraits of federico da montefeltro and his wife battista sforza (reverse sides),"1473-75, oil on wood, 47 x 33 cm (each), galleria degli uffizi, florence","1259*1000, true color, 246 kb",https://www.wga.hu/art/p/piero/4/montefe3.jpg
31373,PIERO DELLA FRANCESCA,portraits of federico da montefeltro and his wife battista sforza (reverse sides),"1473-75, oil on wood, 47 x 33 cm (each), galleria degli uffizi, florence","1205*850, true color, 174 kb",https://www.wga.hu/art/p/piero/4/montefe4.jpg
31374,PIERO DELLA FRANCESCA,portrait of federico da montefeltro,"1473-75, oil on wood, 47 x 33 cm, galleria degli uffizi, florence","850*1208, true color, 144 kb",https://www.wga.hu/art/p/piero/4/montefe5.jpg
31375,PIERO DELLA FRANCESCA,triumph of federico da montefeltro,"1473-75, oil on wood, 47 x 33 cm, galleria degli uffizi, florence","1044*1500, true color, 247 kb",https://www.wga.hu/art/p/piero/4/montefe6.jpg
